No,Name ID,Ads ID,ID,Race,R,PP Number,LB,LA,CC No,Sps Name,Children,C Name,C Address, Status,HP /Month
1,Wang Chen,"56 Jalan Sultan Ismail, Shah Alam",830827-07-7470,Chinese,Christianity,H62684454,8931.55,11163.99,4966237946926062,Chan Rui Yuan,Chew Hui Fen,Dinamik Bersatu Berhad,"5135 Jalan Sultan Idris Shah, Parit Buntar, Perak 34200",Pending,2836.51
2,Zhao Mei,"45 Jalan Tun Razak, Johor Bahru",521210-26-9327,Chinese,Buddhism,A45986126,41466.29,49842.67,5523334241404912,Phua Jie Li,Lee Wei Yan,Dinamik Biru Berhad,"4517 Jalan Lapangan Terbang, Tapah, Perak 35000",Pending,2423.36
3,Wang Jing,"78 Jalan Gurney, Penang",690227-36-0598,Chinese,Buddhism,K18950097,57483.41,65357.08,4123454725599818,Chong Mei Jun,Chia Kai Xiang,Dinamik Cemerlang Resources,"1711 Jalan Sultan Idris Shah, Tapah, Perak 35000",Rejected,621.04
4,Wang Hua,"78 Jalan Gurney, Penang",991203-34-8898,Chinese,Taoism,A55424955,26366.95,29787.29,4460318464046896,Foo Fang Kai,Teo Fen Ling,Dinamik Hebat Solutions,"312 Jalan Lapangan Terbang, Sitiawan, Perak 32000",Pending,2896.9
5,Wang Wei,"89 Jalan Bukit Bintang, Seremban",660514-04-3196,Chinese,Atheist,A59242403,11983.15,15341.96,4966235001327663,Koh Mei Yuan,Koh Jun Zhi,Dinamik Hijau Berhad,"7821 Jalan Taman Bahagia, Taiping, Perak 34000",Rejected,857.43
6,Zhou Mei,"56 Jalan Sultan Ismail, Shah Alam",960716-35-9488,Chinese,Taoism,H83328874,18594.64,38073.46,5417262952909788,Low Yan Li,Phua Kai Yan,Dinamik Hijau Sdn Bhd,"7252 Jalan Pasir Puteh, Bagan Serai, Perak 34300",Approved,2692.58
7,Zhou Li,"89 Jalan Bukit Bintang, Seremban",611111-13-4404,Chinese,Taoism,H36308574,79331.99,97417.84,5521152944848330,Liew Yuan Mei,Tan Xiang Hui,Dinamik Maju Group,"1032 Jalan Dato Sagor, Sitiawan, Perak 32000",Approved,1028.75
8,Yang Hua,"123 Jalan Ampang, Kuala Lumpur",700503-26-3924,Chinese,Taoism,H74808634,20829.67,37651,5400672382407972,Chia Hui Qing,Goh Mei Wei,Dinamik Merah Resources,"3789 Jalan Kampar, Ayer Tawar, Perak 32400",Rejected,796.89
9,Goh Fen Yan,"45 Jalan Tun Razak, Johor Bahru",940221-38-7994,Chinese,Buddhism,H21243915,32547.12,38111.46,5521158081443587,Foo Wei Jie,Chong Yan Hui,Dinamik Sejahtera Corporation,"1352 Lorong Aman, Parit Buntar, Perak 34200",Pending,2270.62
10,Ng Ming Xiang,"45 Jalan Tun Razak, Johor Bahru",501203-27-1710,Chinese,Nil,K05303641,60562.68,63371.08,5417264317402723,Chan Ling Ling,Chia Ting Hui,Firma Biru Corporation,"5101 Jalan Kampar, Taiping, Perak 34000",Approved,1505.27
11,Chan Jun Ting,"89 Jalan Bukit Bintang, Seremban",550428-36-1139,Chinese,Buddhism,H19576094,17904.13,32225.68,5417269963293722,Ng Ying Kai,Ng Ying Yuan,Firma Cemerlang Group,"7244 Jalan Merdeka, Ipoh, Perak 30000",Pending,1950.99
12,Phua Fang Bo,"562 Jalan Dato Sagor, Pantai Remis, Perak 34900",600326-18-2992,Chinese,Buddhism,A79263288,45227.7,57386.73,5123451340569736,Chin Li Li,Koh Ying Ting,Firma Gemilang Ventures,"89 Jalan Bukit Bintang, Seremban",Rejected,2495
13,Liew Ming Fang,"8688 Jalan Pasir Puteh, Bagan Serai, Perak 34300",651019-25-0962,Chinese,Atheist,A45340947,36026.36,40595.27,4842814908501875,Goh Ying Yan,Lim Rui Rui,Firma Maju Solutions,"562 Jalan Dato Sagor, Pantai Remis, Perak 34900",Rejected,875.78
14,Teo Ming Rui,"218 Jalan Taman Bahagia, Sungai Siput, Perak 31100",710508-08-5763,Chinese,Christianity,A94126720,73400.27,86252.45,5520138861719175,Chan Ying Yan,Foo Hui Rui,Firma Makmur Group,"8688 Jalan Pasir Puteh, Bagan Serai, Perak 34300",Pending,2089.9
15,Chin Hui Zhi,"3203 Jalan Kuala Kangsar, Batu Gajah, Perak 31000",050514-05-2834,Chinese,Taoism,A57979045,9732.68,20888.41,5523335531704176,Chin Bo Ming,Tan Ling Zhi,Firma Merah Corporation,"218 Jalan Taman Bahagia, Sungai Siput, Perak 31100",Approved,2941.05
16,Ng Li Hui,"5947 Jalan Lapangan Terbang, Teluk Intan, Perak 36000",010331-17-9055,Chinese,Buddhism,K08353209,36981.76,45365.63,4966235484918079,Liew Zhi Fen,Chan Fang Ming,Firma Metro Holdings,"3203 Jalan Kuala Kangsar, Batu Gajah, Perak 31000",Pending,2863.71
17,Liew Ling Jie,"57220 Thomas Walk, West Loriburgh, SC 44206",041015-36-3057,Chinese,,H51339596,39316.72,53962.97,5419711871061111,Yap Xiang Fang,Lee Jun Ying,Firma Metro Sdn Bhd,"5947 Jalan Lapangan Terbang, Teluk Intan, Perak 36000",Approved,2852.33
18,Lee Mei Ming,"0651 Olivia Crossing, West Robertoland, AZ 26275",660925-36-0848,Chinese,Taoism,K34439047,30681.06,43234.52,4966239124613207,Phua Ying Fang,Lee Rui Ming,Firma Perkasa Sdn Bhd,"6183 Jalan Hospital, Taiping, Perak 34000",Approved,1792.78
19,Liu Chen,"6317 Fisher Fall Apt. 363, Port Michaelmouth, SD 92321",590323-05-2138,Chinese,Buddhism,K22161875,40079.94,44584.54,5400078711527375,Goh Li Hui,Yap Rui Ying,Firma Sentosa Ventures,"89 Jalan Bukit Bintang, Seremban",Pending,2627.86
20,Lee Jun Ying,"784 Medina Field Apt. 198, East Brian, VI 22616",900917-17-1640,Chinese,Taoism,K68723637,71783.15,91736.21,5400071412292175,Wong Jie Yan,Koh Yan Rui,Global Biru Consulting,"562 Jalan Dato Sagor, Pantai Remis, Perak 34900",Approved,2905.92
21,Lee Rui Ming,"4517 Jalan Lapangan Terbang, Tapah, Perak 35000",941019-03-5334,Chinese,Buddhism,K20578056,62420.95,63707.11,4921385002526153,Chan Li Ying,Lee Fen Yuan,Global Hebat Consulting,"8688 Jalan Pasir Puteh, Bagan Serai, Perak 34300",Rejected,652.5
22,Yap Rui Ying,"1711 Jalan Sultan Idris Shah, Tapah, Perak 35000",790525-28-6994,Chinese,Atheist,K64818067,37705.54,54661.05,5223456157446257,Goh Li Mei,Liew Qing Fen,Global Hijau Sdn Bhd,"218 Jalan Taman Bahagia, Sungai Siput, Perak 31100",Rejected,2612.75
23,Koh Yan Rui,"312 Jalan Lapangan Terbang, Sitiawan, Perak 32000",530129-18-9799,Chinese,Taoism,H87890363,7667.85,15706.39,4921381667891586,Chan Wei Fen,Sim Ying Qing,Global Merah Enterprise,"3203 Jalan Kuala Kangsar, Batu Gajah, Perak 31000",Approved,2516.67
